"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1971/09/01","00:00","2.215","1.722","NaN","0.774","NaN","NaN","-0.016","-0.285","0"
"1971/10/01","00:00","2.313","1.772","NaN","0.814","NaN","NaN","-0.007","-0.587","0"
"1971/11/01","00:00","2.415","1.772","NaN","0.682","NaN","NaN","-0.226","-0.587","0"
"1971/12/01","00:00","2.313","1.824","NaN","0.653","NaN","NaN","-0.266","-0.686","0"
"1972/01/01","00:00","2.313","1.722","NaN","0.604","NaN","NaN","-0.295","-0.686","0"
"1972/02/01","00:00","1.814","1.473","NaN","0.502","NaN","NaN","-0.305","-0.686","0"
"1972/03/01","00:00","1.913","1.594","NaN","0.653","NaN","NaN","-0.148","-0.486","0"
"1972/04/01","00:00","2.113","1.434","NaN","0.433","NaN","NaN","-0.377","-0.686","0"
"1972/05/01","00:00","2.113","1.483","NaN","0.404","NaN","NaN","-0.427","-0.787","0"
"1972/06/01","00:00","2.215","1.624","NaN","0.535","NaN","NaN","-0.377","-0.787","0"
"1972/07/01","00:00","2.215","1.683","NaN","0.614","NaN","NaN","-0.358","-0.787","0"
"1972/08/01","00:00","2.014","1.512","NaN","0.482","NaN","NaN","-0.407","-0.686","0"
"1972/09/01","00:00","2.215","1.752","NaN","0.712","NaN","NaN","-0.128","-0.285","0"
"1972/10/01","00:00","2.415","1.942","NaN","0.892","NaN","NaN","0.043","-0.486","0"
"1972/11/01","00:00","2.415","1.795","NaN","0.712","NaN","NaN","-0.187","-0.787","0"
"1972/12/01","00:00","2.513","1.903","NaN","0.784","NaN","NaN","-0.197","-0.787","0"
"1973/01/01","00:00","2.215","1.663","NaN","0.584","NaN","NaN","-0.338","-0.686","0"
"1973/02/01","00:00","1.913","1.404","NaN","0.443","NaN","NaN","-0.377","-0.587","0"
"1973/03/01","00:00","1.814","1.414","NaN","0.492","NaN","NaN","-0.276","-0.486","0"
"1973/04/01","00:00","1.913","1.532","NaN","0.564","NaN","NaN","-0.236","-0.587","0"
"1973/05/01","00:00","2.313","1.693","NaN","0.584","NaN","NaN","-0.338","-0.787","0"
"1973/06/01","00:00","2.415","1.795","NaN","0.643","NaN","NaN","-0.328","-0.686","1"
"1973/07/01","00:00","2.513","1.864","NaN","0.774","NaN","NaN","-0.138","-0.486","0"
"1973/08/01","00:00","2.215","1.785","NaN","0.843","NaN","NaN","0.003","-0.285","0"
"1973/09/01","00:00","2.113","1.883","NaN","0.955","NaN","NaN","0.194","0.013","0"
"1973/10/01","00:00","2.215","1.824","NaN","0.892","NaN","NaN","0.115","-0.285","0"
"1973/11/01","00:00","2.513","1.972","NaN","0.922","NaN","NaN","0.082","-0.387","0"
"1973/12/01","00:00","2.615","1.883","NaN","0.814","NaN","NaN","-0.066","-0.587","0"
"1974/01/01","00:00","2.713","1.864","NaN","0.843","NaN","NaN","-0.036","-0.486","0"
