Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf,station_id
2000/05/01,00:00,2.041,1.703,1.289,0.725,0.702,0.115,-0.098,-0.476,0,1611400
2000/06/01,00:00,2.431,1.867,1.352,0.778,0.746,0.141,-0.108,-0.538,0,1611400
2000/07/01,00:00,2.516,1.926,1.375,0.866,0.83,0.285,0.03,-0.397,0,1611400
2000/08/01,00:00,2.503,1.791,1.388,0.86,0.83,0.272,0.141,-0.148,0,1611400
2000/09/01,00:00,2.211,1.844,1.549,0.988,0.965,0.381,0.259,0.046,0,1611400
2000/10/01,00:00,2.149,1.785,1.427,0.85,0.833,0.24,0.105,-0.23,0,1611400
2000/11/01,00:00,2.228,1.801,1.342,0.768,0.745,0.148,-0.049,-0.371,0,1611400
2000/12/01,00:00,2.523,1.821,1.348,0.761,0.743,0.138,-0.102,-0.499,0,1611400
2001/01/01,00:00,,1.765,1.276,0.719,0.709,0.138,-0.105,,11,1611400
2001/02/01,00:00,,1.788,1.407,0.778,0.778,0.148,-0.036,,11,1611400
2001/03/01,00:00,1.759,1.417,1.122,0.545,0.525,-0.072,-0.194,-0.659,0,1611400
2001/04/01,00:00,1.909,1.493,1.211,0.584,0.582,-0.046,-0.164,-0.495,0,1611400
2001/05/01,00:00,2.093,1.64,1.273,0.666,0.664,0.056,-0.157,-0.512,0,1611400
2001/06/01,00:00,2.362,1.844,1.362,0.787,0.764,0.167,-0.082,-0.443,0,1611400
2001/07/01,00:00,2.405,1.9,1.358,0.817,0.791,0.223,-0.062,-0.407,0,1611400
2001/08/01,00:00,2.53,1.978,1.549,0.991,0.96,0.371,0.197,-0.197,0,1611400
2001/09/01,00:00,2.218,1.755,1.463,0.873,0.874,0.285,0.203,-0.033,0,1611400
2001/10/01,00:00,1.985,1.624,1.388,0.778,0.784,0.18,0.079,-0.184,0,1611400
2001/11/01,00:00,2.07,1.739,1.434,0.732,0.755,0.075,-0.108,-0.387,0,1611400
2001/12/01,00:00,2.579,1.837,1.289,0.738,0.705,0.121,-0.157,-0.482,0,1611400
2002/01/01,00:00,2.684,1.923,1.381,0.807,0.774,0.167,-0.095,-0.446,0,1611400
2002/02/01,00:00,2.178,1.716,1.273,0.679,0.659,0.046,-0.131,-0.758,0,1611400
2002/03/01,00:00,2.159,1.522,1.214,0.61,0.594,-0.026,-0.148,-0.367,0,1611400
2002/04/01,00:00,2.093,1.552,1.161,0.591,0.568,-0.026,-0.151,-0.433,0,1611400
2002/05/01,00:00,2.08,1.66,1.175,0.61,0.587,0.0,-0.197,-0.65,0,1611400
